Timestamp,Object,Confidence,Tracking_ID
2026-06-01 22:47:02,person,0.53,N/A
2026-06-01 22:47:02,person,0.53,N/A
2026-06-01 22:47:02,person,0.38,N/A
2026-06-01 22:47:03,person,0.37,348
2026-06-01 22:47:03,person,0.48,354
2026-06-01 22:47:06,person,0.35,360
2026-06-01 22:47:11,person,0.42,N/A
2026-06-01 22:47:11,person,0.30,N/A
2026-06-01 22:47:12,person,0.40,368
2026-06-01 22:47:13,person,0.50,N/A
2026-06-01 22:47:13,person,0.67,N/A
2026-06-01 22:47:14,person,0.69,371
2026-06-01 22:48:04,person,0.40,N/A
2026-06-01 22:48:23,person,0.40,N/A
2026-06-01 22:48:23,person,0.31,N/A
2026-06-01 22:48:25,person,0.33,N/A
2026-06-01 22:48:30,person,0.33,N/A
2026-06-01 22:48:32,person,0.31,N/A
2026-06-01 22:48:43,person,0.37,N/A
2026-06-01 22:48:44,person,0.32,N/A
2026-06-01 22:48:44,person,0.43,383
2026-06-01 22:49:02,person,0.40,N/A
2026-06-01 22:49:03,person,0.34,N/A
2026-06-01 22:49:03,person,0.42,385
2026-06-01 22:49:08,person,0.39,N/A
2026-06-01 22:49:09,person,0.74,389
2026-06-01 22:49:10,person,0.79,N/A
2026-06-01 22:49:10,person,0.57,N/A
2026-06-01 22:49:11,person,0.72,391
2026-06-01 22:49:28,person,0.32,392
2026-06-01 22:50:04,person,0.41,393
2026-06-01 22:51:03,cell phone,0.62,398
2026-06-01 22:51:11,person,0.32,N/A
2026-06-01 22:51:11,person,0.34,399
2026-06-01 22:51:16,cell phone,0.32,N/A
2026-06-01 22:51:16,cell phone,0.37,N/A
2026-06-01 22:51:17,cell phone,0.31,N/A
2026-06-01 22:51:17,cell phone,0.36,402
2026-06-01 22:51:23,person,0.35,N/A
2026-06-01 22:51:23,person,0.36,403
2026-06-01 22:51:24,person,0.30,N/A
2026-06-01 22:51:24,cell phone,0.45,N/A
2026-06-01 22:51:25,cell phone,0.31,N/A
2026-06-01 22:51:27,cell phone,0.35,N/A
2026-06-01 22:51:29,cell phone,0.36,N/A
2026-06-01 22:51:29,person,0.41,N/A
2026-06-01 22:51:29,person,0.57,N/A
2026-06-01 22:51:29,person,0.33,N/A
2026-06-01 22:51:30,person,0.77,412
